trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
249,False,"{'a': 0.5, 'e': 0.21181826916956134}",20,7,16.810528812964634,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.21081829347774714}",30,0,33.2616339070102,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
251,False,"{'a': 0.5, 'e': 0.20982178186118197}",25,13,-25.3348319009704,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
252,False,"{'a': 0.5, 'e': 0.2088287341948306}",20,0,-9.906041952544113,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
253,False,"{'a': 0.5, 'e': 0.20783915023025773}",20,5,25.41797248361375,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.20685302959650093}",25,19,9.972563641823943,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.20587037180094733}",25,17,15.766847699826574,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.20489117623021427}",30,16,23.06604313581606,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.20391544215103397}",30,15,5.722414438626762,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.20294316871114162}",25,13,23.037987337596892,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.2019743549401669}",20,8,21.029746592110758,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.20100899975052935}",25,6,18.07848417867675,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.20004710193833616}",35,11,-6.12505916279633,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
262,False,"{'a': 0.5, 'e': 0.19908866018428373}",25,15,9.345613898166341,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.19813367305456184}",25,10,-16.260508241715172,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.19718213900176035}",25,15,0.4400369729087683,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.19623405636577915}",25,16,17.819612215048515,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.19528942337473984}",25,3,-15.431100513700919,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
267,False,"{'a': 0.5, 'e': 0.19434823814590033}",25,0,-25.47633202347796,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
268,False,"{'a': 0.5, 'e': 0.19341049868657154}",20,15,1.6442998133078661,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.19247620289503578}",25,10,7.445676170980284,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.19154534856146752}",30,8,19.931913374344372,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.19061793336885566}",20,3,-71.37350526557151,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
272,False,"{'a': 0.5, 'e': 0.18969395489392774}",30,24,12.467940833997291,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
